CdsCod,AdCod,n°iscritti,n°passati,Tasso_superamento,voto_medio
F0802Q,F0802Q051,86,45,0.52,27.93
F8203B,F8203B030,33,17,0.52,28.53
F5102P,F5102P005,129,67,0.52,28.58
F0901D,F0901D029,48,25,0.52,29.2
F1601M,F1601M042,106,56,0.53,
I0302D,I0302D011,47,25,0.53,24.2
E0201Q,E0201Q001,268,141,0.53,24.54
E1601N,E1601N009,162,86,0.53,24.77
E3001Q,E3001Q003,292,154,0.53,25.17
I0101D,I0101D006,337,177,0.53,25.2
E1802M,E3301M138,36,19,0.53,25.26
F5103P,F5103P072,152,81,0.53,26.11
E1803M,E1803M049,302,159,0.53,26.19
E3201Q,E3201Q074,88,47,0.53,26.36
E1802M,E1802M117,231,123,0.53,26.41
E3001Q,E3001Q043,233,124,0.53,26.63
F0802Q,F0802Q039,47,25,0.53,27.08
F5104P,F5104P010,55,29,0.53,27.31
581,A5810056,66,35,0.53,27.6
581,A5810046,94,50,0.53,27.86
K0101D,K0101D014,39,21,0.54,
E4101B,E4101B008,165,89,0.54,23.82
G8501R,G8501R004,347,186,0.54,23.93
E4001N,E4001N059,46,25,0.54,24.8
E3501Q,E3501Q062,41,22,0.54,25.32
I0101D,I0101D012,304,163,0.54,25.45
E1803M,E1803M101,288,155,0.54,25.79
581,A5810228,431,231,0.54,26.48
G8501R,G8501R037,459,248,0.54,27.08
E2701Q,E2701Q035,74,41,0.55,23.61
E1601N,E1601N003,256,142,0.55,24.09
E4101B,E4101B038,77,42,0.55,25.33
E3002Q,E3002Q008,56,31,0.55,25.35
581,A5810014,332,183,0.55,25.71
E3501Q,E3501Q065,78,43,0.55,26.12
E4101B,E4101B013,91,50,0.55,26.6
581,A5810006,304,168,0.55,26.68
E1802M,E1802M126,31,17,0.55,27.18
E3401Q,E3401Q017,55,30,0.55,27.27
G8501R,G8501R005,359,196,0.55,27.83
E2702Q,E2702Q045,73,40,0.55,28.33
E1801M,E1801M048,266,148,0.56,23.8
E1501N,E1501N001,203,113,0.56,24.4
E2401P,E2401P001,624,351,0.56,24.82
F7601M,F7601M050,61,34,0.56,25.18
581,A5810227,520,291,0.56,25.3
I0302D,I0302D008,43,24,0.56,25.5
581,A5810015,374,208,0.56,26.26
E3501Q,E3501Q010,39,22,0.56,26.36
E1301Q,E1301Q009,325,183,0.56,26.42
F5102P,F5102P003,80,45,0.56,26.44
E1301Q,E1301Q059,52,29,0.56,26.66
F0901D,F0901D039,39,22,0.56,27.18
F8203B,F8203B006,34,19,0.56,27.32
F8501R,F8501R001,261,146,0.56,27.71
F0901D,F0901D034,48,27,0.56,27.85
F5102P,F5102P014,32,18,0.56,29.06
E4001N,E4001N009,309,177,0.57,22.58
E1803M,E1803M050,264,150,0.57,23.64
E3002Q,E3002Q002,70,40,0.57,24.33
E1801M,E1801M033,276,157,0.57,24.57
E3301M,E3301M097,397,226,0.57,24.66
E1501N,E1501N065,179,102,0.57,24.81
E4001N,E4001N053,214,121,0.57,24.92
E1401A,E1401A007,121,69,0.57,25.12
G8501R,G8501R036,336,191,0.57,25.18
I0101D,I0101D016,351,199,0.57,25.41
E1801M,E1801M052,239,136,0.57,25.53
E3001Q,E3001Q036,247,141,0.57,26.32
E2701Q,E2701Q044,44,25,0.57,26.48
F5104P,F5104P005,214,123,0.57,26.86
E1901R,E1901R004,463,265,0.57,26.97
F1801Q,F1801Q132,137,78,0.57,27.01
H4101D,H4101D013,207,118,0.57,28.58
F0601Q,F0601Q067,60,34,0.57,29.09
I0202D,I0202D101,50,29,0.58,20.93
I0101D,I0101D015,332,193,0.58,22.95
E0201Q,E0201Q053,142,83,0.58,23.72
E3101Q,E3101Q110,364,211,0.58,24.09
E1801M,E1801M028,419,242,0.58,24.49
E1801M,E1801M030,254,148,0.58,25.16
E3301M,E3301M148,125,73,0.58,25.19
E1401A,E1401A019,33,19,0.58,25.47
I0102D,I0102D001,50,29,0.58,25.76
581,A5810229,387,225,0.58,25.97
E1301Q,E1301Q010,198,115,0.58,26.24
F5104P,F5104P003,296,172,0.58,26.34
E3301M,E3301M111,227,132,0.58,26.79
F5701R,F5701R009,179,104,0.58,26.83
F0901D,F0901D046,48,28,0.58,27
E4101B,E4101B040,103,60,0.58,27.52
F0101R,F0101R002,65,38,0.58,27.71
E2401P,E2401P118,96,56,0.58,27.79
F1801Q,F1801Q134,106,62,0.58,29.21
E1803M,E1803M057,297,176,0.59,22.26
E3001Q,E3001Q067,68,40,0.59,25.8
F7601M,F7601M054,34,20,0.59,26.1
E1301Q,E1301Q067,100,59,0.59,26.39
E1401A,E1401A074,314,185,0.59,26.78
E2701Q,E2701Q042,39,23,0.59,26.87
E1301Q,E1301Q055,140,82,0.59,26.99
E2401P,E2401P013,488,288,0.59,27.11
E1401A,E1401A087,97,57,0.59,28.05
F5401Q,F5401Q019,32,19,0.59,28.37
581,A5810093,51,30,0.59,28.6
H4601D,H4601D033,40,24,0.6,
E0201Q,E0201Q050,86,52,0.6,22.63
E2001R,E2001R002,221,132,0.6,23.84
E1803M,E1803M081,239,144,0.6,24.08
E1401A,E1401A077,238,143,0.6,24.26
E3001Q,E3001Q035,229,138,0.6,24.41
G8501R,G8501R023,262,158,0.6,24.63
E1802M,E1802M034,292,174,0.6,24.74
E2702Q,E2702Q001,108,65,0.6,24.74
I0101D,I0101D901,392,235,0.6,24.9
F7701M,F7701M082,252,150,0.6,25.15
581,A5810007,342,204,0.6,25.49
E1802M,E1802M123,257,155,0.6,26.45
F9201P,F9201P100,63,38,0.6,27.34
581,A5810082,86,52,0.6,27.48
E0201Q,E0201Q075,43,26,0.6,27.81
F5101P,F5101P139,194,116,0.6,27.9
H4101D,H4101D018,189,113,0.6,28.44
E1601N,E1601N008,327,201,0.61,24.96
581,A5810003,493,299,0.61,25.51
E1802M,E1802M130,109,66,0.61,25.59
E2001R,E2001R055,62,38,0.61,26.5
E2702Q,E2702Q085,80,49,0.61,26.98
F8204B,F8204B003,56,34,0.61,27.53
F5102P,F5102P002,117,71,0.61,27.56
E3301M,E3301M218,191,119,0.62,
F7701M,F7701M002,260,160,0.62,
F9201P,F9201P004,79,49,0.62,24.06
I0202D,I0202D121,47,29,0.62,24.24
I0202D,I0202D005,42,26,0.62,25.04
I0101D,I0101D007,403,250,0.62,25.26
E1401A,E1401A008,119,74,0.62,25.62
F4901N,F4901N001,45,28,0.62,26.36
E1901R,E1901R017,109,68,0.62,26.9
E2004P,E2004P038,143,89,0.62,26.91
I0102D,I0102D903,45,28,0.62,26.93
E1401A,E1401A084,177,110,0.62,27.14
I0301D,I0301D031,37,23,0.62,27.39
F5401Q,F5401Q018,45,28,0.62,27.5
E2004P,E2004P026,130,81,0.62,27.6
F7501Q,F7501Q046,37,23,0.62,28.74
F7702M,F7702M023,118,74,0.63,
I0201D,I0201D101,93,59,0.63,20.98
E1802M,E1802M115,176,110,0.63,23.02
E2001R,E2001R037,244,154,0.63,23.14
E1802M,E1802M129,312,198,0.63,23.71
E0201Q,E0201Q055,38,24,0.63,23.96
E1401A,E1401A080,102,64,0.63,24.27
E1401A,E1401A017,135,85,0.63,24.92
E1801M,E2004P029,41,26,0.63,25.19
E2401P,E2401P010,499,314,0.63,25.26
E4101B,E4101B009,80,50,0.63,25.3
E3501Q,E3501Q008,32,20,0.63,25.55
F0601Q,F0601Q050,68,43,0.63,25.86
E2004P,E2004P007,142,90,0.63,25.9
E3401Q,E3401Q046,84,53,0.63,26.04
E1301Q,E1301Q069,84,53,0.63,26.34
E1901R,E1901R093,726,454,0.63,26.5
E3101Q,E3101Q113,249,156,0.63,26.69
F5701R,F5701R002,174,110,0.63,26.69
E2401P,E2401P101,536,340,0.63,26.99
E2001R,E2001R040,51,32,0.63,27.06
H4101D,H4101D002,207,130,0.63,27.35
F0601Q,F0601Q047,40,25,0.63,27.36
E3501Q,E3501Q012,38,24,0.63,27.75
F1801Q,F1801Q110,43,27,0.63,27.78
F5701R,F5701R003,129,81,0.63,28.69
581,A5810134,70,44,0.63,28.98
F0601Q,F0601Q070,32,20,0.63,29.45
E3201Q,E3201Q107,124,79,0.64,24.03
F7702M,F7702M043,165,105,0.64,25.83
581,A5810043,150,96,0.64,27.07
581,A5810133,64,41,0.64,27.61
H4101D,H4101D004,179,115,0.64,27.97
