ad,media
[A5810017] DIRITTO PROCESSUALE CIVILE,17.4
[E2004P007] TEORIA E TECNICA DEI NUOVI MEDIA,17.333333333333332
[E2004P044] PSICOLOGIA SOCIALE DELLA COMUNICAZIONE,17.2
[G8501R013] PEDAGOGIA DEL CORPO CON LABORATORIO,17
[E3301M196] MANAGEMENT,17
[E1501N065] ECONOMIA CULTURALE E AMBIENTALE,17
[E1802M034] ISTITUZIONI DI DIRITTO PRIVATO,16.857142857142858
[E1801M048] MATEMATICA PER IL MARKETING,16.857142857142858
[F7701M002] ABILITÀ INFORMATICHE MAGISTRALE,16.666666666666668
[E1501N071] SOCIOLOGIA DEL TURISMO,16.666666666666668
[E1501N053] ARTE E ARCHITETTURA,16.666666666666668
[G8501R002] STORIA DELLA PEDAGOGIA E DELLE ISTITUZIONI EDUCATIVE,16.571428571428573
[A5810014] DIRITTO COMMERCIALE,16.555555555555557
[E2401P008] PSICOLOGIA FISIOLOGICA,16.444444444444443
[I0101D025] METODOLOGIA CLINICA INFERMIERISTICA 2,16.333333333333332
[F7702M044] INDUSTRIAL ECONOMICS,16.333333333333332
[E1901R014] LETTERATURA ITALIANA CONTEMPORANEA,16.3
[G8501R010] DIDATTICA GENERALE CON LABORATORIO,16.25
[I0101D017] ASSISTENZA INFERMIERISTICA IN AREA CRITICA,16.2
[E1802M116] MANAGEMENT,16.166666666666668
[A5810003] SCIENZA DELLE FINANZE,16.166666666666668
[H4101D004] BIOLOGIA E GENETICA,16
[E3501Q003] ALGEBRA I,16
[E1501N007] LINGUA E TRADUZIONE INGLESE,16
[E1803M049] CONTABILITA' E BILANCIO,15.88888888888889
[E0201Q001] MATEMATICA,15.875
[E3101Q112] SISTEMI DISTRIBUITI,15.666666666666666
[G8501R003] PSICOLOGIA DELLO SVILUPPO CON LABORATORIO,15.5
[E1801M051] LINGUA - INGLESE,15.5
[E1901R104] DIDATTICA E PEDAGOGIA DELL'INCLUSIONE,15.333333333333334
[E1501N079] ELEMENTI DI ECONOMIA,15.333333333333334
[A5810007] DIRITTO INTERNAZIONALE,15.333333333333334
[H4101D018] SEMEIOTICA E SISTEMATICA 3,15.2
[F5701R009] CAMBIAMENTO ORGANIZZATIVO,15
[E3101Q131] METODI INFORMATICI PER LA GESTIONE AZIENDALE,15
[E2001R024] TEORIA E TECNICA DEI NUOVI MEDIA,15
[E1901R013] ISTITUZIONI DI LINGUISTICA,14.875
[E1801M033] ISTITUZIONI DI DIRITTO PRIVATO,14.875
[G8501R023] DIDATTICA DELLA MATEMATICA CON LABORATORIO,14.857142857142858
[H4101D013] SEMEIOTICA E SISTEMATICA 1,14.833333333333334
[H4101D014] SEMEIOTICA E SISTEMATICA 2,14.75
[F1801Q132] MODELLI E COMPUTAZIONE,14.75
[E4101B005] STATISTICA I,14.714285714285714
"[I0101D003] IGIENE, MEDICINA DEL LAVORO E STATISTICA MEDICA",14.666666666666666
[F1801Q134] APPRENDIMENTO AUTOMATICO,14.666666666666666
[A5810018] PROCEDURA PENALE,14.666666666666666
