CdsCod,AdCod,TipoCorso,n°iscritti,n°passati,Tasso_superamento,voto_medio
581,A5810130,[LM5] Laurea Magistrale Ciclo Unico 5 anni,247,125,0.51,25.1
E1401A,E1401A040,[L2] Corso di Laurea - L2,39,20,0.51,24.85
E1601N,E1601N002,[L2] Corso di Laurea - L2,259,133,0.51,24.05
E1802M,E3301M148,[L2] Corso di Laurea - L2,94,48,0.51,24.73
E2004P,E2004P004,[L2] Corso di Laurea - L2,191,98,0.51,25.71
E2004P,E2004P044,[L2] Corso di Laurea - L2,172,87,0.51,26.16
E2701Q,E2701Q013,[L2] Corso di Laurea - L2,39,20,0.51,26.95
E3201Q,E3201Q069,[L2] Corso di Laurea - L2,112,57,0.51,25.75
E4101B,E4101B004,[L2] Corso di Laurea - L2,75,38,0.51,
E4101B,E4101B005,[L2] Corso di Laurea - L2,210,107,0.51,24.23
F4901N,F4901N009,[LM] Corso di Laurea Magistrale,86,44,0.51,27.2
I0101D,LING,[L2] Corso di Laurea - L2,376,193,0.51,
I0201D,I0201D100,[L2] Corso di Laurea - L2,109,56,0.51,24.88
581,A5810012,[LM5] Laurea Magistrale Ciclo Unico 5 anni,248,130,0.52,26.9
581,A5810135,[LM5] Laurea Magistrale Ciclo Unico 5 anni,61,32,0.52,27.84
E2001R,E2001R004,[L2] Corso di Laurea - L2,263,136,0.52,23.57
E3001Q,E3001Q057,[L2] Corso di Laurea - L2,105,55,0.52,26.27
E3301M,E3301M182,[L2] Corso di Laurea - L2,121,63,0.52,25.19
E3401Q,E3401Q052,[L2] Corso di Laurea - L2,33,17,0.52,26
F0802Q,F0802Q051,[LM] Corso di Laurea Magistrale,86,45,0.52,27.93
F0901D,F0901D029,[LM] Corso di Laurea Magistrale,48,25,0.52,29.2
F5102P,F5102P005,[LM] Corso di Laurea Magistrale,129,67,0.52,28.58
F7702M,F7702M002,[LM] Corso di Laurea Magistrale,180,94,0.52,
F8203B,F8203B030,[LM] Corso di Laurea Magistrale,33,17,0.52,28.53
I0201D,I0201D121,[L2] Corso di Laurea - L2,101,53,0.52,24.58
581,A5810046,[LM5] Laurea Magistrale Ciclo Unico 5 anni,94,50,0.53,27.86
581,A5810056,[LM5] Laurea Magistrale Ciclo Unico 5 anni,66,35,0.53,27.6
E0201Q,E0201Q001,[L2] Corso di Laurea - L2,268,141,0.53,24.54
E1601N,E1601N009,[L2] Corso di Laurea - L2,162,86,0.53,24.77
E1802M,E1802M117,[L2] Corso di Laurea - L2,231,123,0.53,26.41
E1802M,E3301M138,[L2] Corso di Laurea - L2,36,19,0.53,25.26
E1803M,E1803M049,[L2] Corso di Laurea - L2,302,159,0.53,26.19
E3001Q,E3001Q003,[L2] Corso di Laurea - L2,292,154,0.53,25.17
E3001Q,E3001Q043,[L2] Corso di Laurea - L2,233,124,0.53,26.63
E3201Q,E3201Q074,[L2] Corso di Laurea - L2,88,47,0.53,26.36
F0802Q,F0802Q039,[LM] Corso di Laurea Magistrale,47,25,0.53,27.08
F1601M,F1601M042,[LM] Corso di Laurea Magistrale,106,56,0.53,
F5103P,F5103P072,[LM] Corso di Laurea Magistrale,152,81,0.53,26.11
F5104P,F5104P010,[LM] Corso di Laurea Magistrale,55,29,0.53,27.31
I0101D,I0101D006,[L2] Corso di Laurea - L2,337,177,0.53,25.2
