ad,media
[F1801Q105] DATA AND TEXT MINING,1.75
[E4102B054] STATISTICA MEDICA,1.75
[E3101Q127] PROBABILITA' E STATISTICA PER L'INFORMATICA,1.75
[A5810043] DIRITTO DELL'INFORMAZIONE E DELLA COMUNICAZIONE,1.7419354838709677
[E3201Q106] CHIMICA ANALITICA,1.7407407407407407
[F0601Q073] CITOGENETICA,1.7391304347826086
[F0802Q050] NANOBIOTECNOLOGIE,1.736842105263158
[E1802M131] LINGUA - FRANCESE,1.736842105263158
[E1803M058] LINGUA - FRANCESE,1.7352941176470589
[E2004P013] PSICOLOGIA DELL'ARTE,1.7346938775510203
[A5810134] FONDAMENTI ROMANISTICI DEL DIRITTO PRIVATO EUROPEO,1.7333333333333334
[I0302D008] SCIENZE DI LABORATORIO,1.7272727272727273
[E1401A085] ELEMENTI DI PROCEDURA PENALE,1.7272727272727273
[F5102P017] PSICOLOGIA DEI CONSUMI,1.7246376811594204
[E2702Q085] CHIMICA ORGANICA I,1.7222222222222223
[E1301Q059] ECOLOGIA APPLICATA,1.7222222222222223
[E2004P044] PSICOLOGIA SOCIALE DELLA COMUNICAZIONE,1.72
[E1801M050] LINGUA - FRANCESE,1.72
[E3201Q069] BOTANICA,1.71875
[E1801M028] ELEMENTI DI CONTABILITÀ E BILANCIO,1.7184466019417475
[E3501Q003] ALGEBRA I,1.7142857142857142
[A5810057] DIRITTO INDUSTRIALE,1.7142857142857142
[E1801M004] ISTITUZIONI DI DIRITTO PUBBLICO,1.7123287671232876
[E3002Q011] OTTICA DELLA CONTATTOLOGIA GENERALE,1.7083333333333333
[F7601M052] PROGRAMMAZIONE ECONOMICO-TERRITORIALE E POLITICHE DEL TURISMO,1.7058823529411764
[E4102B001] ANALISI MATEMATICA I,1.702127659574468
[I0102D902] METODOLOGIA CLINICA NELLE SCIENZE OSTETRICO-GINECOLOGICHE E NEONATALI,1.7
[E2004P005] PSICOLOGIA SOCIALE,1.7
[E0201Q075] BIOTECNOLOGIE CELLULARI,1.7
[E3201Q067] CHIMICA GENERALE ED INORGANICA,1.697674418604651
[E1401A074] ELEMENTI DI DIRITTO ROMANO PUBBLICO E PRIVATO,1.6973684210526316
[E3301M128] MATEMATICA GENERALE I,1.696969696969697
[E1601N049] ORDINAMENTO E DIRITTO REGIONALE,1.6964285714285714
[F7702M057] GLOBAL ACCOUNTING,1.6941176470588235
[A5810014] DIRITTO COMMERCIALE,1.6931818181818181
[E1803M060] LINGUA - SPAGNOLO,1.6896551724137931
[E3401Q013] MINERALOGIA,1.6885245901639345
"[E2004P008] APPRENDIMENTO, PENSIERO E DECISIONE",1.6875
[E3401Q038] INFORMATICA PER LE SCIENZE DELLA TERRA,1.6829268292682926
[E1401A014] STATISTICA ECONOMICA,1.68
[H4101D039] DIAGNOSTICA DI LABORATORIO,1.6774193548387097
[E2401P007] PSICOLOGIA GENERALE 2,1.6704545454545454
[F9201P004] COMUNICAZIONE VISIVA E DESIGN DELLE INTERFACCE,1.6666666666666667
[F8501R022] ORGANIZZAZIONE E GESTIONE DELLE RISORSE UMANE,1.6666666666666667
[F7601M063] ULTERIORI CONOSCENZE LINGUISTICHE PER IL TURISMO - INGLESE,1.6666666666666667
[F7601M058] LINGUA SPAGNOLA PER LE SCIENZE TURISTICHE,1.6666666666666667
[F5401Q024] METODOLOGIE MODERNE DI SINTESI ORGANICA E ORGANOMETALLICA,1.6666666666666667
[F5103P073] PSICOLOGIA DELLO SVILUPPO DEL LINGUAGGIO ORALE E SCRITTO,1.6666666666666667
[F5102P094] PSICOLOGIA SOCIALE DELLA RELIGIONE,1.6666666666666667
[F4001Q074] ANALISI ARMONICA,1.6666666666666667
[E3301M140] DIRITTO DEI TRASPORTI,1.6666666666666667
[E3002Q028] SISTEMI OTTICI E OFTALMICI CON LABORATORIO,1.6666666666666667
[E3001Q063] ESPERIMENTAZIONI DI BIOFISICA,1.6666666666666667
[E3001Q055] ELEMENTI DI FISICA TEORICA,1.6666666666666667
[E2401P016] PENSIERO E COMUNICAZIONE,1.6666666666666667
[E2004P027] COMUNICAZIONE D'IMPRESA,1.6666666666666667
[E2004P002] FILOSOFIA DEL LINGUAGGIO,1.6666666666666667
[E1901R084] MUSICA,1.6666666666666667
[E1401A087] DIRITTO PENITENZIARIO,1.6666666666666667
[E1301Q058] BIOCHIMICA CELLULARE,1.6666666666666667
[A5810007] DIRITTO INTERNAZIONALE,1.6626506024096386
[E1801M031] ECONOMIA AZIENDALE,1.6612903225806452
[E3401Q002] FISICA,1.6571428571428573
[E4101B003] INFORMATICA,1.6533333333333333
[A5810228] STORIA DEL DIRITTO MEDIEVALE E MODERNO,1.6528925619834711
[E1601N043] RETI DI IMPRESE E TERRITORIO,1.6521739130434783
[E2004P004] PSICOLOGIA GENERALE PER LA COMUNICAZIONE,1.65
[E1901R037] METODOLOGIA DELLA FORMAZIONE,1.65
[G8501R037] DIDATTICA DELLA LETTERATURA E DIDATTICA DELLA LINGUA ITALIANA COME L2 CON LABORATORIO,1.6484375
[E1601N020] MATEMATICA,1.6474358974358974
[I0303D003] ORGANI E FUNZIONI,1.6470588235294117
[E4101B014] STATISTICA ECONOMICA II,1.6470588235294117
[I0102D004] FISIOLOGIA UMANA,1.6428571428571428
[F5401Q027] CHIMICA FISICA SUPERIORE,1.6428571428571428
[E3201Q092] CHIMICA FISICA,1.6428571428571428
[E1301Q011] ZOOLOGIA,1.6428571428571428
[F0802Q051] PROPRIETA' INTELLETTUALE,1.64
[E1401A076] ELEMENTI DI STORIA DEL DIRITTO MEDIEVALE E MODERNO,1.64
[A5810015] DIRITTO PENALE,1.6372549019607843
[F0802Q059] FARMACOLOGIA APPLICATA,1.6363636363636365
[E2701Q002] MATEMATICA II,1.6363636363636365
[E3401Q046] GEORISORSE,1.631578947368421
[E3201Q091] FISICA TERRESTRE,1.631578947368421
[E2004P025] PSICOLOGIA ECONOMICA E DEL LAVORO,1.6296296296296295
[A5810010] DIRITTO AMMINISTRATIVO,1.6296296296296295
